Customer No.,Customer Name,Phone Number,Area Code,,
1532, Abdullah Bin Khalfan Salmi,95500006,A1 ,,
1497, Abdullah Obaid Saeed Soli,92793628,A1 ,,
2784, Al Badia H/M Khadra,,A1 ,,
1018, Al Ghadeer Shopping Centre,,A1 ,,
1162, Al Hafidh S/C,,A1 ,,
3157, Al Rawasi S/C,92618333,A1 ,,
3497, Al Ritaj  Al Mumaiza,94098462,A1 ,,
1233, Al Taj Hyper Market,,A1 ,,
3037, AL Zaeem S/C,95448388,A1 ,,
1393, Falj Al Alee Co L.L.C,,A1 ,,
3505, Janoob Al Wadi,96251294,A1 ,,
3471, Khyal Al Majid,97052840,A1 ,,
1102, Lulu Al Arab Restaurant,95310214,A1 ,,
3675, Luluat Awinat,95524451,A1 ,,
1539, Manwir AL Mughadir,96448613,A1 ,,
1094, Modern Hala LLC,,A1 ,,
3003, Muscat Al Mumaiz,78744568,A1 ,,
3313, Radath Shinas Trading,71266508,A1 ,,
3559, Safa Al Khadra H/M,98698668,A1 ,,
3659, Sama Al Qarah,99889917,A1 ,,
1005, Shahzad Cash Sale,,A1 ,,
3020, The Modern Walls Trading,92127096,A1 ,,
3032, Top Mart,79575560,A1 ,,
2975, White Rose Int.,95462707,A1 ,,
3133, Adwa Al Ruwais Trading,79065470,A2 ,,
3474, Afnan Naseem # 2 Trading,98441616,A2 ,,
3477, Afnan Naseem # 3,98441616,A2 ,,
3473, Afnan Naseem Trading,79848037,A2 ,,
3466, Al Faris Al Mutaliq Trading # 2,78306949,A2 ,,
3625, Al Hujairah S/C,94350912,A2 ,,
2106, Al Jahwri S/C,78397822,A2 ,,
3167, Al Khair S/C,90203800,A2 ,,
1937, Al Madina Hyper Market,,A2 ,,
3578, Al Madina Rest,,A2 ,,
1292, Al Nawa Hyper Market,97668865,A2 ,,
2703, Al Yaman S/C,97422022,A2 ,,
3262, Ammar Al Dar Trading,90789981,A2 ,,
1291, Aseel Dhiyan Trading,93128615,A2 ,,
3308, Bait Al Nabla Trading,78523881,A2 ,,
1359, Basmat Al Badia Trading,92756107,A2 ,,
3147, Bin Hamood Al Manwar Trading,90722988,A2 ,,
2995, Captial Beam Trading,92912810,A2 ,,
1671, Dama Shopping Center,95944250,A2 ,,
1243, Dawahi Al Bareek Trading,99988521,A2 ,,
3031, Fahid Bin NasirTrading,90205956,A2 ,,
2964, Fahid Bin Rashid Trading,95758221,A2 ,,
1714, Lulu Muscat Hypermarket LLC Bidayah,26803500,A2 ,,
3603, Magic Of Perfection,92244246,A2 ,,
2319, Masar Al Asifa S/C,98081414,A2 ,,
1220, Mezan Al Sur Shopping Center,97713508,A2 ,,
3115, Modern Subikhi Heights,95281757,A2 ,,
2963, Muhammad Bryk Trading,92575222,A2 ,,
1478, Nasir Al Kharosi Trading,92235195,A2 ,,
1181, Salmeen Bin Gharib Trading,,A2 ,,
3097, Shumoukh Al Khwairat Trading,92105484,A2 ,,
1052, Suwaiq United Garden,99436416,A2 ,,
3348, Tannaf Bin Hadeeb Trading,79810750,A2 ,,
3670, Um Aseel SC,91633072,A2 ,,
3512, Adwa Al Mani,79596796,A3 ,,
3501, Al Aqiq Al Abiyadh Rest,99112868,A3 ,,
1149, Al Areen Shopping Center,95086290,A3 ,,
1365, Al Bidaya Shopping Centre,96321636,A3 ,,
3525, Al Dar Kingdom,72232397,A3 ,,
2059, Al Dewani S/C,9045009,A3 ,,
2077, Al Ezza H/M   (Bidaya),,A3 ,,
3039, Al Faris Al Matwlk Trading,78306949,A3 ,,
2334, Al Ghabab Trading,92535666,A3 ,,
2712, Al Hugaira Modern S/C,95974105,A3 ,,
1038, Al Ossagee Shopping,99412237,A3 ,,
1013, Al Qasbia Shopping Centre,,A3 ,,
1244, Al Rabee National S/C,99792880,A3 ,,
3411, Anwer Al Falaj Trading,98281243,A3 ,,
1513, Bashir Liwa Trading,92193003,A3 ,,
1756, Bin Madeed Trading,94338667,A3 ,,
3591, Diamond Breccias Rest,95562481,A3 ,,
1028, Dorrat Al Mousam,,A3 ,,
1473, Economy Shopping Centre,,A3 ,,
2943, Ghalib Al Saeedi Qasbia,79733413,A3 ,,
3635, Haram Diyan,95365842,A3 ,,
1735, Kubba H/M,95452100,A3 ,,
1086, Lulu Muscat Hypermarket LLC,26805544,A3 ,,
3239, Lulut Al Mihd Trading,92561978,A3 ,,
3160, M.Bin Masood C/S,97888523,A3 ,,
1257, Naba Al Jabal C/S,99223917,A3 ,,
3513, Najum AL Qimat,78017645,A3 ,,
1861, New Al Badia (Khaboora),,A3 ,,
2038, New Al Nawa H/M,,A3 ,,
3108, Raboo Al Nahda Trading,98740233,A3 ,,
3454, Rayaan AL Khaleej,97304191,A3 ,,
3552, Reha Al Bawarah,97159830,A3 ,,
1077, Saihoot Hyper Market  (Khaboora),99469263,A3 ,,
1074, Salem Hamid Al Qayyumi,95372877,A3 ,,
3475, Salim Al Hosni Rest,79304191,A3 ,,
3046, Talal Al Saidi Trading,92652550,A3 ,,
3458, Abu Sultan Al Raisi Trading,98119005,A4 ,,
3510, Ajwa Al Ghashba,98270012,A4 ,,
3515, Al Ababeel H/M,92859267,A4 ,,
1170, Al Ghadir S/C # 2,98813314,A4 ,,
3648, Al Habtoor # 2,92722587,A4 ,,
2997, Al Habtoor Trading,94858355,A4 ,,
2956, Al Haj Trading,98119005,A4 ,,
2281, Al Hatab Al Jadeed Trd,94431100,A4 ,,
1284, Al Jazeera Int S/C  LLC,99416964,A4 ,,
1428, Al Jazeera International Shopping,,A4 ,,
1743, Al Jazeera Intl (Aqar),,A4 ,,
1238, Al Manama Shopping Centre,92206335,A4 ,,
3665, Al Mauj SC,72497271,A4 ,,
2561, Al Mazaya Market,92842362,A4 ,,
3484, Al Ohi Cold Store,96090500,A4 ,,
2295, AL Sadaf Shinas  S/C   Aqar,,A4 ,,
3121, Al Tubaz Momaiza,98381379,A4 ,,
3666, Alam Al Yaqoob,93409009,A4 ,,
3014, Bawasel Al Saada Trading,94072934,A4 ,,
3637, Dar Al Wadi,79597241,A4 ,,
3620, Firdous Al Madina Rest,94424849,A4 ,,
3410, Garden S/C,91005619,A4 ,,
3352, Hail H/M,99100777,A4 ,,
